id,budget,genres,year,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
2,0,Drama|Crime,1988,fi,Ariel,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",0.823904,Villealfa Filmproduction Oy,Finland,21-10-1988,0,69,suomi,Released,,Ariel,7.1,40,2,1,2
3,0,Drama|Comedy,1986,fi,Varjoja paratiisissa,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",0.47445,Villealfa Filmproduction Oy,Finland,16-10-1986,0,76,English,Released,,Shadows in Paradise,7,32,1,1,3
5,4000000,Crime|Comedy,1995,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1.698,Miramax Films,United States of America,25-12-1995,4300000,98,English,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,485,2,1,1
6,0,Action|Thriller|Crime,1993,en,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",1.32287,Universal Pictures,Japan,15-10-1993,12136938,110,English,Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,6.5,69,3,2,1
8,42000,Documentary,2006,en,Life in Loops (A Megacities RMX),"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",0.054716,inLoops,Austria,01-01-2006,0,80,English,Released,A Megacities remix.,Life in Loops (A Megacities RMX),6.4,4,1,1,5
9,0,Drama,2004,de,Sonntag im August,,0.001647,none,Germany,02-09-2004,0,15,Deutsch,Released,,Sunday in August,5.3,2,0,1,1
11,11000000,Adventure|Action|Science Fiction,1977,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,10.492614,Lucasfilm,United States of America,25-05-1977,775398007,121,English,Released,"A long time ago in a galaxy far, far away...",Star Wars,8,6168,2,1,1
12,94000000,Animation|Family,2003,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",9.915573,Pixar Animation Studios,United States of America,30-05-2003,940335536,100,English,Released,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,5531,1,1,1
13,55000000,Comedy|Drama|Romance,1994,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",10.351236,Paramount Pictures,United States of America,06-07-1994,677945399,142,English,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7204,1,1,1
14,15000000,Drama,1999,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",8.191009,DreamWorks SKG,United States of America,15-09-1999,356296601,122,English,Released,Look closer.,American Beauty,7.9,2994,2,1,1
15,839727,Mystery|Drama,1941,en,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",3.82689,RKO Radio Pictures,United States of America,30-04-1941,23217674,119,English,Released,It's Terrific!,Citizen Kane,7.9,1110,2,1,1
16,12800000,Drama|Crime|Music,2000,en,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",2.106217,Fine Line Features,Argentina,17-05-2000,40031879,140,English,Released,You don't need eyes to see.,Dancer in the Dark,7.6,348,26,12,1
17,0,Horror|Thriller|Mystery,2006,en,The Dark,Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.,1.253999,Constantin Film,Germany,26-01-2006,0,87,English,Released,One of the living for one of the dead.,The Dark,5.6,69,4,2,2
